Tags,Discord,Name,Published,Twitter,status,tags
DEFI,,Empo - secure DEX,"Jul 19, 2022 6:53 AM",https://twitter.com/Empo_Fi,TBA,
NFT,https://discord.gg/fdJXZE6F,WitchVerseLabs | Aptos NFT,"Jul 19, 2022 8:30 AM",https://twitter.com/WitchVerseLabs,ongoing,
DEFI,,NjordFinance,"Jul 27, 2022 12:42 PM",https://twitter.com/NjordFinance,TBA,
DEXDEFI,,Thala Labs - DeFi,"Jul 21, 2022 7:50 PM",https://twitter.com/ThalaLabs,TBA,
DEXDEFI,,1kx Exchange,"Jul 28, 2022 9:59 AM",https://twitter.com/1kxprotocol,Testnet,
NetworkDEFI,,ultima - Building Aptos' liquidity hub,"Jul 19, 2022 6:18 AM",https://twitter.com/ultimaprotocol,,
DEFILending,,AptosLend,"Jul 30, 2022 2:14 PM",https://twitter.com/aptoslend,TBA,
DEXNetwork,https://discord.gg/kHWnQpBq,Pontem Network -Building the first DEX on,"Jul 19, 2022 5:48 AM",https://twitter.com/PontemNetwork,Testnet,
DEFISTAKE,https://discord.gg/4cC28wbK,https://aptos.super.site/aptos-aptos-labs/zaptos-zero-fee-liquid-staking-on-aptos,"Jul 19, 2022 6:05 AM",https://twitter.com/ZaptosFinance,ongoing,
DEXDEFISTAKE,,Hanson - automated market maker for trading assets,"Jul 19, 2022 6:28 AM",https://twitter.com/hansondotso,TBA,
DEXORDER,https://discord.gg/h6Kx9pkp,Laminar - fully decentralized Spot DEX,"Jul 19, 2022 5:48 AM",https://twitter.com/LaminarMarkets,TBA,
DEFI,,Tsunami Finance,"Jul 25, 2022 10:00 AM",https://twitter.com/Tsunamifinance_,,
ORACLE,,Switchboard,"Jul 19, 2022 6:28 AM",https://twitter.com/switchboardxyz,TBA,
DEFI,,"Vial Protocol - autonomous, algorithmic liquidity protocol .","Jul 19, 2022 4:35 PM",https://twitter.com/vialprotocol,Testnet,
NFTIdentity,,names.aptos (Aptos Name Service),"Jul 19, 2022 6:28 AM",https://twitter.com/aptosnames,Testnet,
Network,,https://aptos.super.site/aptos-aptos-labs/hippo-labs-the-aggregation-layer,"Jul 19, 2022 6:22 AM",https://twitter.com/hippolabs__,,
PERPNetworkORDER,https://discord.gg/h6Kx9pkp,Aries Market - Decentralised Margin Trading,"Jul 19, 2022 6:05 AM",https://twitter.com/AriesMarkets,TBA,
WALLET,https://discord.gg/HRbMWmhm,Fewcha Wallet - crypto wallet for Aptos,"Jul 19, 2022 5:45 AM",https://twitter.com/FewchaWallet,Testnet,
DEXDEFI,,Mariana Exchange,"Jul 27, 2022 12:45 PM",https://twitter.com/marianaexchange,TBA,
DAO,,Paymagic,"Jul 19, 2022 6:28 AM",https://twitter.com/paymagic_,TBA,
DEXORDERNetwork,https://discord.gg/ydAeGtrW,https://aptos.super.site/aptos-aptos-labs/econia-hyper-parallelized-on-chain-order-book,"Jul 19, 2022 6:20 AM",https://twitter.com/EconiaLabs,TBA,
WALLETNFT,https://discord.gg/MQDnAjPN,Martian - trusted Aptos wallet,"Jul 19, 2022 6:05 AM",https://twitter.com/martian_wallet,Testnet,
MARKET PLACENFT,,Topaz - Aptos NFT Marketplace,"Jul 19, 2022 5:45 AM",https://twitter.com/TopazMarket,Testnet,
